ān xīn	安欣
biān liàng	边亮
cài chàng	蔡畅
cài è	蔡锷
cài fú	蔡孚
cài jīng	蔡京
cài kān	蔡戡
cài lán	蔡澜
cài lún	蔡伦
cài mào	蔡瑁
cài nǐ	蔡薿
cài qí	蔡奇
cài qiān	蔡牵
cài què	蔡确
cài shēn	蔡伸
cài xiāng	蔡襄
cài yǎn	蔡琰
cài yáng	蔡阳
cài yōng	蔡邕
cài zé	蔡泽
cáo áng	曹昂
cáo bīn	曹彬
cáo bīn	曹豳
cáo cān	曹参
cáo cāo	曹操
cáo chōng	曹冲
cáo é	曹娥
cáo fāng	曹芳
cáo hóng	曹洪
cáo jī	曹姬
cáo jié	曹节
cáo jūn	曹军
cáo kūn	曹锟
cáo liú	曹刘
cáo máo	曹髦
cáo pī	曹丕
cáo rén	曹仁
cáo ruì	曹叡
cáo ruì	曹睿
cáo shuǎng	曹爽
cáo sōng	曹松
cáo sōng	曹嵩
cáo táng	曹唐
cáo xiāng	曹襄
cáo xiū	曹休
cáo yè	曹邺
cáo yín	曹寅
cáo yú	曹禺
cáo yǔ	曹宇
cáo yuán	曹缘
cáo zhāng	曹彰
cáo zhēn	曹真
cáo zhí	曹植
chén ān	陈安
chén cè	陈策
chén chéng	陈诚
chén dào	陈到
chén dēng	陈登
chén gēng	陈赓
chén gōng	陈宫
chén guāng	陈光
chén guī	陈珪
chén jiǎo	陈矫
chén jú	陈菊
chén liàng	陈亮
chén màn	陈漫
chén měi	陈美
chén ōu	陈欧
chén qún	陈群
chén ruì	陈睿
chén shēn	陈深
chén shèng	陈胜
chén shòu	陈寿
chén tài	陈泰
chén tāng	陈汤
chén xī	陈豨
chén yì	陈毅
chén yí	陈仪
chén yú	陈馀
chén yún	陈云
chén zhāo	陈朝
chén zhēn	陈真
chén zhěn	陈轸
chén zhī	陈祗
chóng è	种谔
chǔ wáng	楚王
cuī dàn	崔澹
cuī dí	崔涤
cuī dòng	崔峒
cuī fān	崔藩
cuī gōng	崔恭
cuī guàn	崔瓘
cuī guī	崔珪
cuī hào	崔浩
cuī hào	崔颢
cuī lǔ	崔橹
cuī pú	崔璞
cuī qí	崔琦
cuī qiào	崔翘
cuī róng	崔融
cuī shí	崔湜
cuī shǔ	崔曙
cuī shū	崔枢
cuī tú	崔涂
cuī xuàn	崔铉
cuī yǎn	崔琰
cuī yǎn	崔郾
cuī yè	崔液
cuī yīng	崔膺
cuī zhù	崔杼
dài fēi	戴妃
dài jìn	戴进
dài jūn	戴军
dài kuí	戴逵
dài lì	戴笠
dài lín	戴琳
dài xù	戴旭
dài zhèn	戴震
dài zōng	戴宗
dèng ài	邓艾
dèng dí	邓迪
dèng fēi	邓飞
dèng gōng	邓公
dèng huá	邓华
dèng kěn	邓肯
dèng kēng	邓铿
dèng sù	邓肃
dèng suí	邓绥
dèng tōng	邓通
dèng tuò	邓拓
dèng yǔ	邓禹
dèng yù	邓愈
dèng zhī	邓芝
dèng zhì	邓骘
dèng zhì	邓陟
dèng zhōng	邓忠
dīng dù	丁度
dīng fèng	丁奉
dīng fù	丁复
dīng fǔ	丁黼
dīng gù	丁固
dīng lán	丁兰
dīng lěi	丁磊
dīng líng	丁玲
dīng mǎn	丁满
dīng mò	丁墨
dīng níng	丁宁
dīng wèi	丁谓
dīng xiè	丁蟹
dīng yí	丁仪
dīng yuán	丁原
dīng zhēn	丁真
dǒng chāng	董昌
dǒng chāo	董超
dǒng chéng	董承
dǒng dà	董大
dǒng fān	董藩
dǒng fèng	董奉
dǒng gāng	董罡
dǒng hé	董和
dǒng jié	董杰
dǒng jué	董厥
dǒng jūn	董军
dǒng léi	董雷
dǒng lù	董路
dǒng mǐn	董敏
dǒng píng	董平
dǒng qiáng	董强
dǒng qiáo	董桥
dǒng wěi	董伟
dǒng xí	董袭
dǒng xián	董贤
dǒng xuān	董宣
dǒng xuě	董雪
dǒng yán	董岩
